rank,gid,role,priority_score,why
1,100000000331309100,distributor,0.5458,"наблюдаемый поток: 23 986 010 KZT; сила роли «распределение»: 0,80; посредничество: 0,005"
20,100000005933757100,distributor,0.4609,"наблюдаемый поток: 4 248 628 KZT; сила роли «распределение»: 0,55; достижим от 7 seed"
21,100000003635170100,transit,0.4592,"сила роли «транзит»: 0,94; наблюдаемый поток: 522 000 KZT; достижим от 8 seed"
22,100000008346837100,distributor,0.4566,"наблюдаемый поток: 1 513 002 KZT; посредничество: 0,009; достижим от 7 seed"
23,100000004070318100,coordinator,0.4554,"сила роли «координация»: 0,73; наблюдаемый поток: 759 107 KZT; достижим от 7 seed"
24,100000007229557100,consolidator,0.4552,"сила роли «консолидация»: 0,82; наблюдаемый поток: 878 000 KZT; достижим от 9 seed"
25,100000002956769100,consolidator,0.4545,"сила роли «консолидация»: 0,82; наблюдаемый поток: 840 000 KZT; достижим от 9 seed"
26,100000002883402100,consolidator,0.454,"сила роли «консолидация»: 0,83; наблюдаемый поток: 300 000 KZT; достижим от 10 seed"
27,100000005778283100,consolidator,0.4536,"сила роли «консолидация»: 0,82; наблюдаемый поток: 615 760 KZT; достижим от 9 seed"
28,100000002793881100,consolidator,0.4535,"сила роли «консолидация»: 0,82; наблюдаемый поток: 785 600 KZT; достижим от 9 seed"
29,100000004351795100,coordinator,0.4516,"наблюдаемый поток: 1 833 494 KZT; сила роли «координация»: 0,65; достижим от 7 seed"
30,100000001875239100,consolidator,0.4513,"сила роли «консолидация»: 0,82; наблюдаемый поток: 712 000 KZT; достижим от 9 seed"
31,100000001253557100,consolidator,0.451,"сила роли «консолидация»: 0,83; наблюдаемый поток: 210 200 KZT; достижим от 10 seed"
32,100000002547110100,consolidator,0.4509,"сила роли «консолидация»: 0,80; наблюдаемый поток: 1 500 000 KZT; достижим от 8 seed"
33,100000005367445100,transit,0.4496,"сила роли «транзит»: 1,00; наблюдаемый поток: 10 000 KZT; достижим от 9 seed"
34,100000002369874100,consolidator,0.4494,"сила роли «консолидация»: 0,82; наблюдаемый поток: 600 000 KZT; достижим от 9 seed"
35,100000002945626100,consolidator,0.4491,"сила роли «консолидация»: 0,82; наблюдаемый поток: 584 000 KZT; достижим от 9 seed"
36,100000003157679100,consolidator,0.449,"сила роли «консолидация»: 0,82; наблюдаемый поток: 541 000 KZT; достижим от 9 seed"
37,100000002398779100,consolidator,0.4488,"сила роли «консолидация»: 0,69; наблюдаемый поток: 1 161 690 KZT; достижим от 8 seed"
38,100000002443664100,consolidator,0.4486,"сила роли «консолидация»: 0,82; наблюдаемый поток: 556 880 KZT; достижим от 9 seed"
39,100000003115284100,consolidator,0.4484,"наблюдаемый поток: 2 677 500 KZT; сила роли «консолидация»: 0,52; достижим от 11 seed"
40,100000000201868100,transit,0.4482,"сила роли «транзит»: 1,00; наблюдаемый поток: 380 000 KZT; достижим от 7 seed"
41,100000008144528100,consolidator,0.447,"сила роли «консолидация»: 0,78; наблюдаемый поток: 1 068 203 KZT; достижим от 7 seed"
42,100000006518161100,transit,0.4468,"сила роли «транзит»: 0,94; наблюдаемый поток: 1 190 099 KZT; достижим от 7 seed"
43,100000003134934100,consolidator,0.4455,"сила роли «консолидация»: 0,82; наблюдаемый поток: 379 354 KZT; достижим от 9 seed"
44,100000002957787100,distributor,0.4454,"наблюдаемый поток: 1 361 110 KZT; сила роли «распределение»: 0,55; посредничество: 0,004"
45,100000004820260100,transit,0.4447,"сила роли «транзит»: 0,92; наблюдаемый поток: 449 550 KZT; достижим от 7 seed"
46,100000003158727100,consolidator,0.4443,"сила роли «консолидация»: 0,82; наблюдаемый поток: 367 940 KZT; достижим от 9 seed"
47,100000002679516100,consolidator,0.4433,"сила роли «консолидация»: 0,83; наблюдаемый поток: 102 335 KZT; достижим от 10 seed"
48,100000008561016100,transit,0.4431,"сила роли «транзит»: 0,97; наблюдаемый поток: 365 000 KZT; достижим от 9 seed"
49,100000008723830100,transit,0.4419,"сила роли «транзит»: 0,99; наблюдаемый поток: 914 785 KZT; достижим от 7 seed"
50,100000003265158100,transit,0.4412,"сила роли «транзит»: 0,94; наблюдаемый поток: 300 300 KZT; достижим от 9 seed"
