cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,181,1,43150217.62,100000002718366100|100000001303311100|100000007229557100|100000002956769100|100000002883402100,"Гипотеза для проверки: сообщество с 1 известными seed, возможны консолидация и последующее распределение; внутренний поток 43 150 218 KZT."
17,42,0,4121910,100000002939838100|100000002293421100|100000003163886100|100000004180097100|100000007617808100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 4 121 910 KZT."
18,112,0,4050628,100000002578405100|100000005041905100|100000004292885100|100000001632325100|100000008712827100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 4 050 628 KZT."
19,38,0,3689700,100000005171642100|100000002870463100|100000003509750100|100000003068941100|100000008748408100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 3 689 700 KZT."
20,15,0,3626010,100000006704530100|100000003122817100|100000008461532100|100000000791285100|100000002691583100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 3 626 010 KZT."
21,26,0,3427726,100000006225798100|100000003242289100|100000003964910100|100000008221543100|100000008512552100,"Гипотеза для проверки: сообщество без известных seed, возможны консолидация и последующее распределение; внутренний поток 3 427 726 KZT."
22,9,0,3404688,100000002175422100|100000001317336100|100000003557488100|100000002975437100|100000002212494100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 3 404 688 KZT."
23,24,0,3340669,100000005519998100|100000004336312100|100000008213966100|100000000838385100|100000004017410100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 3 340 669 KZT."
24,109,1,3259876,100000003942602100|100000002527114100|100000001952325100|100000008737422100|100000004792397100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 3 259 876 KZT."
25,53,1,2993313,100000002679516100|100000003265158100|100000002973903100|100000001899164100|100000004386331100,"Гипотеза для проверки: сообщество с 1 известными seed, возможны консолидация и последующее распределение; внутренний поток 2 993 313 KZT."
26,29,15,2339450,100000005382566100|100000008516839100|100000005668605100|100000005523088100|100000004403675100,"Гипотеза для проверки: сообщество с 15 известными seed, преобладают признаки периферийного движения; внутренний поток 2 339 450 KZT."
27,39,0,2090445,100000001697501100|100000002733905100|100000001166289100|100000005342513100|100000006612238100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 2 090 445 KZT."
28,12,0,2022500,100000003701161100|100000002267998100|100000003718221100|100000001063678100|100000005974542100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 2 022 500 KZT."
29,11,0,1868224,100000002032323100|100000008603331100|100000004715209100|100000001046057100|100000002671326100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 1 868 224 KZT."
30,33,1,1727157,100000001102676100|100000005612411100|100000008172352100|100000002964966100|100000000993112100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 1 727 157 KZT."
31,9,0,1406982,100000007647294100|100000002217161100|100000001445848100|100000008254576100|100000000954884100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 1 406 982 KZT."
32,4,1,1404980,100000000785800100|100000001872484100|100000008601794100|100000002459163100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 1 404 980 KZT."
33,15,0,850450,100000001526235100|100000002472632100|100000001788284100|100000005505655100|100000000860514100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 850 450 KZT."
34,5,0,809750,100000003164661100|100000001380054100|100000001782980100|100000005077484100|100000005055454100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 809 750 KZT."
35,7,0,776000,100000004144536100|100000002731501100|100000001330595100|100000002257794100|100000003275398100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 776 000 KZT."
36,3,1,711600,100000008736940100|100000008751429100|100000008659445100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 711 600 KZT."
37,2,1,680900,100000005183943100|100000000580561100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 680 900 KZT."
38,3,1,570000,100000007507343100|100000004979498100|100000008571433100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 570 000 KZT."
39,3,1,450816,100000005034574100|100000007283257100|100000004388983100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 450 816 KZT."
40,3,1,450000,100000000769919100|100000002371751100|100000007018630100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 450 000 KZT."
41,2,0,325200,100000004135268100|100000002738256100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки транзита; внутренний поток 325 200 KZT."
42,4,1,292000,100000003616818100|100000003603979100|100000004005964100|100000004007116100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 292 000 KZT."
43,6,1,275885,100000005895525100|100000002462183100|100000005056870100|100000007175718100|100000005807278100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 275 885 KZT."
44,6,0,252813,100000004160650100|100000002886166100|100000004064431100|100000003338583100|100000004007197100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 252 813 KZT."
45,3,0,250000,100000004094958100|100000004331458100|100000005547096100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 250 000 KZT."
46,3,0,221000,100000005456919100|100000008193577100|100000000307908100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 221 000 KZT."
47,2,0,213000,100000003192309100|100000002214383100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 213 000 KZT."
48,4,1,175000,100000000703894100|100000004463277100|100000005669845100|100000006232815100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 175 000 KZT."
49,7,0,143000,100000004508696100|100000005911352100|100000000507799100|100000003962994100|100000005127767100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 143 000 KZT."
50,2,1,81465,100000003865939100|100000005392290100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 81 465 KZT."
51,2,0,76950,100000002214664100|100000008778010100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 76 950 KZT."
52,3,1,70000,100000005363908100|100000005546031100|100000008575624100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 70 000 KZT."
53,2,0,66666,100000004192865100|100000000607731100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 66 666 KZT."
54,2,0,34547,100000000572276100|100000008745676100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 34 547 KZT."
55,3,1,33007,100000007347733100|100000008129393100|100000006249740100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 33 007 KZT."
56,2,1,31050,100000003148220100|100000004971871100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 31 050 KZT."
57,2,0,30000,100000006888238100|100000001852140100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 30 000 KZT."
58,2,1,30000,100000003980083100|100000003200071100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 30 000 KZT."
59,2,0,26150,100000008493007100|100000005685783100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 26 150 KZT."
60,2,0,25000,100000006734554100|100000003617552100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 25 000 KZT."
61,2,1,15000,100000006562026100|100000006831291100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 15 000 KZT."
62,2,0,10000,100000004739664100|100000000979567100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 10 000 KZT."
63,2,0,6910,100000003888271100|100000000955444100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 6 910 KZT."
64,2,0,5000,100000007939160100|100000007930878100,"Гипотеза для проверки: сообщество без известных seed, преобладают признаки периферийного движения; внутренний поток 5 000 KZT."
65,1,1,0,100000000456947100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
66,1,1,0,100000003265658100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
67,1,1,0,100000003349739100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
68,1,1,0,100000003770083100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
69,1,1,0,100000004021459100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
70,1,1,0,100000004174835100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
71,1,1,0,100000005017150100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
72,1,1,0,100000005087431100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
73,1,1,0,100000005235389100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
74,1,1,0,100000005480435100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
75,1,1,0,100000005495722100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
76,1,1,0,100000005550592100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
77,1,1,0,100000005560900100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
78,1,1,0,100000005568407100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
79,1,1,0,100000008117324100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
80,1,1,0,100000008205000100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
81,1,1,0,100000008513251100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
82,1,1,0,100000008669037100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
83,1,1,0,100000008701222100,"Гипотеза для проверки: сообщество с 1 известными seed, преобладают признаки периферийного движения; внутренний поток 0 KZT."
